Category,Item,Tool/Scope,Priority,Status
BUG FIX,Fix screen recorder fast-forward/seeking - prefer MP4 over WebM (Chrome/Edge/Firefox 130+ support mp4 MediaRecorder creating seekable files),screen-recorder,P0,Implemented
BUG FIX,Fix Monaco editor fullscreen height issue - editor takes full width but not height when fullscreen toggled; use explicit pixel dimensions in layout() call,All Monaco editor tools (javascript-editor html-editor python-compiler typescript-compiler sql-practice-editor diff-checker),P0,Implemented
BUG FIX,Complete Audio Recorder saved recordings UI - uncomment and implement saved recordings list with download/delete,audio-recorder,P0,Implemented
BUG FIX,Complete Webcam Recorder saved recordings UI - uncomment and implement saved recordings list with download/delete,webcam-recorder,P0,Implemented
BUG FIX,Fix Image Compressor output format - format selector exists in UI but fileType hardcoded to image/jpeg in options,image-compress,P1,Implemented
DEPENDENCY,Replace idb-keyval with native IndexedDB API in all recorder tools - remove 6KB dependency,screen-recorder + audio-recorder + webcam-recorder,P1,Implemented
DEPENDENCY,Replace crypto-js hashing with Web Crypto API (SubtleCrypto) for SHA-1 SHA-256 SHA-512 - native browser API is faster and no import needed,hash-generator,P1,Implemented
DEPENDENCY,Replace generate-password-ts with native crypto.getRandomValues() - native browser API is cryptographically secure and no 3rd party needed,password-generator,P1,Implemented
DEPENDENCY,Replace guid-ts with native crypto.randomUUID() - built-in browser API available since Chrome 92/Firefox 95/Safari 15.4,guid-generator,P1,Implemented
DEPENDENCY,Evaluate replacing browser-image-compression with native Canvas API toBlob() for better format control - keep for Worker-based compression but add native format awareness,image-compress + image-resizer,P2,Implemented
VIDEO TOOLS,Rebuild Video Compressor using WebCodecs API (VideoEncoder/VideoDecoder) + mp4-muxer - faster native encoding vs FFmpeg WASM; keep FFmpeg as fallback,video-compressor,P1,Implemented
VIDEO TOOLS,Rebuild Video-to-Audio Converter using WebCodecs API (VideoDecoder + AudioDecoder) + webm-muxer/mp4-muxer - native codec access vs FFmpeg WASM,video-to-audio-converter,P1,Implemented
VIDEO TOOLS,Rebuild GIF Maker using Canvas 2D API + custom GIF encoder (gif.js approach) or OffscreenCanvas - eliminate FFmpeg dependency for GIF creation,gif-maker,P1,Implemented
VIDEO TOOLS,Add video trimming/clip selection to Video Compressor - allow users to select time range before compression,video-compressor,P2,Implemented
VIDEO TOOLS,Add audio format selection (MP3/WAV/OGG/FLAC/AAC) to Video-to-Audio with quality settings,video-to-audio-converter,P2,Implemented
VIDEO TOOLS,Add animated preview to GIF Maker - show preview before downloading,gif-maker,P2,Implemented
VIDEO TOOLS,Add progress indicator with time estimate to all video processing tools,video-compressor + gif-maker + video-to-audio-converter,P2,Implemented
VIDEO TOOLS,Add before/after size comparison with visual progress bar to video tools,video-compressor,P2,Implemented
SCREEN RECORDER,Add countdown timer before recording starts (3-2-1 overlay),screen-recorder,P2,Implemented
SCREEN RECORDER,Add recording quality indicator showing live bitrate during recording,screen-recorder,P2,Implemented
SCREEN RECORDER,Add ability to record audio-only (no video) via screen recorder,screen-recorder,P2,Implemented
SCREEN RECORDER,Show saved recordings with thumbnail previews (using video poster/canvas),screen-recorder,P2,Implemented
WEBCAM RECORDER,Add camera filters (grayscale/sepia/mirror) via Canvas CSS filters before recording,webcam-recorder,P2,Implemented
WEBCAM RECORDER,Add resolution selection (480p/720p/1080p) to webcam recorder,webcam-recorder,P2,Implemented
AUDIO RECORDER,Add waveform visualization using AnalyserNode (frequency bar chart),audio-recorder,P2,Implemented
AUDIO RECORDER,Add audio format output selection (webm/mp4/ogg) based on browser support,audio-recorder,P2,Implemented
